Year,Watershed,Elevation,Transect,Sample,StemLength,Leaf1Area,Leaf2Area,LeafDryMass,StemDryMass,CorrectedLeafArea,RootArea,RootLength,RootDryMass
2003,Reference,Low,R1,1,86.9,13.837,12.13,0.0453,0.03,29.104,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,2,114,14.572,15.267,0.0476,0.0338,32.976,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,3,83.5,12.451,9.731,0.0423,0.0248,25.319,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,4,68.1,9.974,10.068,0.0397,0.0194,23.179,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,5,72.1,6.838,5.48,0.0204,0.018,15.455,273.639,934.203,-999.9999
2003,Reference,Low,R1,6,77.7,9.66,7.643,0.0317,0.0246,20.44,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,7,85.5,8.823,9.233,0.0382,0.0316,21.193,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,8,81.6,5.831,6.182,0.0179,0.015,15.15,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,9,92.9,8.108,7.133,0.0286,0.0291,18.378,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,10,59.6,3.016,3.444,0.0125,0.0149,9.597,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,11,63.8,5.818,9.91,0.0297,0.0175,18.865,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,12,92.8,11.113,13.318,0.0442,0.0276,27.568,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,13,76.2,11.112,11.723,0.0512,0.028,25.972,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,14,54.3,10.016,9.699,0.0479,0.0197,22.852,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,15,83.5,11.683,9.54,0.0588,0.0329,24.36,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,16,77.4,10.122,12.092,0.0523,0.0299,25.351,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,17,64.1,7.155,8.364,0.0326,0.0213,18.656,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,18,66.6,13.665,11.016,0.0586,0.0278,27.818,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,19,85.7,12.669,11.832,0.0576,0.0326,27.638,-999.999,-999.999,-999.9999
2003,Reference,Low,R1,20,103.3,11.114,8.982,0.0357,0.0304,23.233,-999.999,-999.999,-999.9999
2003,Reference,Low,R2,1,88.5,12.117,11.135,0.038,0.0277,26.389,-999.999,-999.999,-999.9999
2003,Reference,Low,R2,2,77.7,8.335,7.648,0.0247,0.0164,19.12,-999.999,-999.999,-999.9999
2003,Reference,Low,R2,3,80.6,12.871,12.499,0.0549,0.0309,28.507,-999.999,-999.999,0.0358
2003,Reference,Low,R2,4,85.2,14.879,14.679,0.059,0.0307,32.695,-999.999,-999.999,-999.9999
2003,Reference,Low,R2,5,88.6,6.474,6.89,0.0304,0.026,16.501,-999.999,-999.999,-999.9999
2003,Reference,Low,R2,6,72.9,6.804,7.921,0.0246,0.0146,17.862,-999.999,-999.999,-999.9999
2003,Reference,Low,R2,7,80,9.071,9.909,0.0355,0.0213,22.117,241.526,1154.614,-999.9999
2003,Reference,Low,R2,8,87,7.508,4.644,0.0196,0.0158,15.289,-999.999,-999.999,-999.9999
2003,Reference,Low,R2,9,64.3,5.33,6.138,0.025,0.0158,14.605,-999.999,-999.999,0.0177
2003,Reference,Low,R2,10,87,12.717,11.95,0.0535,0.0335,27.804,-999.999,-999.999,-999.9999
2003,Reference,Low,R2,11,107.8,11.787,12.065,0.0327,0.0212,26.989,-999.999,-999.999,-999.9999
